project;covAbsolute;covMean;covStd;ciAbsolute;ciMean;ciStd;divergenceAbsolute;divergenceMean;divergenceStd
byte-buddy;4.423058222222223;0.8165645948717949;0.11074138039496124;2.622552555555557;0.4841635487179489;0.20179014134455073;4.215182222222221;0.7781874871794868;0.09342411806501155
jctools;17.42415666666666;0.8476616756756755;0.058956083227072645;11.44551199999999;0.5568086918918914;0.24127396928859474;17.125934222222224;0.8331535567567567;0.08662869036592262
jmh-jdk-microbenchmarks;157.32367311111108;0.8202247982621287;0.09742776991184378;135.56942233333373;0.7068065465604655;0.208968601424307;154.40782844444428;0.8050227116582177;0.07813641293340165
jenetics;4.778814666666666;0.8601866399999999;0.04988537851681993;3.3715014444444455;0.6068702600000002;0.2342519748641885;4.52456;0.8144208000000001;0.09773584799136906
jmh-core-benchmarks;12.756410222222218;0.8349650327272725;0.06521773641361696;12.691994444444445;0.8307487272727273;0.11879830933949963;12.422666666666666;0.81312;0.07234621959974011
log4j2;54.55842111111107;0.7702365333333329;0.10818254322771638;39.11782600000003;0.552251661176471;0.2184745052037844;55.96329955555558;0.7900701113725493;0.06957116210701987
protostuff;3.426031555555556;0.7957234580645162;0.0803332372087619;2.912733222222222;0.6765057806451612;0.15023080061865543;3.436344;0.7981186064516129;0.06206989576532787
rxjava;147.91160688888903;0.8307048124805;0.09186380737073692;121.55175544444462;0.6826619650546032;0.1995535828067962;138.67716000000001;0.7788420842433698;0.08037721029338726
squidlib;43.074045111111104;0.8450493863760216;0.05850947989917411;30.702830666666724;0.6023443618528622;0.23253523995007164;41.11120888888889;0.8065414277929156;0.08254418864101504
zipkin;6.165936;0.7277826098360657;0.11252713075770604;4.933444111111115;0.5823081573770497;0.19990388628567696;6.5946880000000005;0.7783894032786886;0.05607744653042299
total;451.84215355555557;0.8196683057697154;0.09532389045841012;364.919572222226;0.6619856185437207;0.21874842851711057;438.4788720000004;0.7954265251700688;0.07973210785865369
