project;commit;benchmark;params;i5;i6;i7;i8;i9;i10
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3Params;;0.010002352;0.018082039;0.016776615;0.010486581;0.009218073;0.010059321
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV2;;0.177449097;0.126185152;0.176716471;0.17862188;0.080045351;0.104038442
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency3ParamsV3;;0.024414275;0.023854837;0.023478202;0.015490203;0.033818918;0.02205408
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5Params;;0.031522473;0.027229244;0.02130364;0.028527512;0.034474159;0.018729359
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV2;;0.001620954;0.001835714;0.001102967;0.001496538;0.007715955;0.005108403
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency5ParamsV3;;0.014748141;0.01012826;0.012107121;0.010917062;0.007749384;0.011260009
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7Params;;0.006224379;0.005827282;0.03213527;0.030879717;0.023665409;0.024403065
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV2;;0.077388262;0.04251567;0.030194898;0.022586364;0.031288255;0.016029117
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency7ParamsV3;;0.009217349;0.004937316;0.010522701;0.013488248;0.011161554;0.009290944
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9Params;;0.019781471;0.014813722;0.019533836;0.013506257;0.008747882;0.014380379
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV2;;0.003625791;0.006631773;0.015134737;0.014585704;0.016827903;0.015461228
apache/logging-log4j2;;org.apache.logging.log4j.message.ParameterFormatterBenchmark.latency9ParamsV3;;0.061418749;0.04553992;0.043265289;0.035756695;0.040896321;0.023399387
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.baseline;;0.009966109;0.012188025;0.006728144;0.001753677;0.001733641;0.002659762
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1Encode;;0.127673687;0.192663008;0.151871676;0.151852202;0.149761254;0.187448294
apache/logging-log4j2;;org.apache.logging.log4j.perf.jmh.AbstractStringLayoutStringEncodingBenchmark.iso8859_1GetBytes;;0.159061449;0.158652278;0.079193209;0.099525771;0.010842498;0.021062577
